id,name,type,github,size_csv,size_zip,url
nqdu-isfz,HCHD Cases by Age - TDH Format,dataset,True,0.29,0.05,https://internal.chattadata.org/api/views/nqdu-isfz/rows.csv?accessType=DOWNLOAD
4qjh-fdm6,Asset Row Count Checker,dataset,True,163.24,3.93,https://internal.chattadata.org/api/views/4qjh-fdm6/rows.csv?accessType=DOWNLOAD
75qm-cvv5,TN Counties COVID-19 Vaccination Demographics,dataset,True,43.01,5.86,https://internal.chattadata.org/api/views/75qm-cvv5/rows.csv?accessType=DOWNLOAD
knby-a5yh,311 Service Requests - Trip Hazards,filter,True,0.04,0.01,https://internal.chattadata.org/api/views/knby-a5yh/rows.csv?accessType=DOWNLOAD
emem-r94k,FY2022 City of Chattanooga Budget Public Input Zoom Participants,filter,True,0.01,0.0,https://internal.chattadata.org/api/views/emem-r94k/rows.csv?accessType=DOWNLOAD
4xc2-5sba,HCHD COVID Website Data - Zip Codes,dataset,False,871.63,194.45,https://internal.chattadata.org/api/views/4xc2-5sba/rows.csv?accessType=DOWNLOAD
jun6-cstd,HCHD COVID Website Data,dataset,True,0.13,0.04,https://internal.chattadata.org/api/views/jun6-cstd/rows.csv?accessType=DOWNLOAD
mb3s-t2pi,FY2022 Budget Public Input Results,dataset,True,0.24,0.03,https://internal.chattadata.org/api/views/mb3s-t2pi/rows.csv?accessType=DOWNLOAD
syga-i7wg,TN Health Department COVID Data - MMWR Week Case Count,dataset,True,6.52,0.88,https://internal.chattadata.org/api/views/syga-i7wg/rows.csv?accessType=DOWNLOAD
q45v-dttq,TN Health Department COVID Data - Cases 5 - 18 Years Old,dataset,True,5.08,0.8,https://internal.chattadata.org/api/views/q45v-dttq/rows.csv?accessType=DOWNLOAD
q6y2-66pb,TN Health Department COVID Data - Daily Case Information,dataset,True,0.14,0.06,https://internal.chattadata.org/api/views/q6y2-66pb/rows.csv?accessType=DOWNLOAD
5fnn-ha4k,TN Health Department COVID Data - County New,dataset,True,13.24,4.39,https://internal.chattadata.org/api/views/5fnn-ha4k/rows.csv?accessType=DOWNLOAD
4k6b-3jbf,TN Health Department COVID Data - Age by County,dataset,True,27.89,3.93,https://internal.chattadata.org/api/views/4k6b-3jbf/rows.csv?accessType=DOWNLOAD
nuzd-6jme,TN Counties COVID-19 Vaccinations,dataset,True,3.69,1.1,https://internal.chattadata.org/api/views/nuzd-6jme/rows.csv?accessType=DOWNLOAD
9e4d-87h4,Fire Prevention Districts,dataset,True,0.05,0.01,https://internal.chattadata.org/api/views/9e4d-87h4/rows.csv?accessType=DOWNLOAD
3h57-aq4d,Street Cuts Since Oct 2020,filter,True,1.1,0.19,https://internal.chattadata.org/api/views/3h57-aq4d/rows.csv?accessType=DOWNLOAD
buuu-z4kd,Street Cut Permits,filter,True,5.22,0.78,https://internal.chattadata.org/api/views/buuu-z4kd/rows.csv?accessType=DOWNLOAD
py3r-wj4t,COVID County Risk Level,dataset,True,195.5,31.48,https://internal.chattadata.org/api/views/py3r-wj4t/rows.csv?accessType=DOWNLOAD
p2hx-we5c,Fire Risk Score - 2019 Fires,dataset,True,9.48,2.32,https://internal.chattadata.org/api/views/p2hx-we5c/rows.csv?accessType=DOWNLOAD
xqhz-y4ia,HCDE School Zones - ESRI,dataset,True,1.35,0.36,https://internal.chattadata.org/api/views/xqhz-y4ia/rows.csv?accessType=DOWNLOAD
c72g-ksjy,HCDE Zones - Zones,dataset,True,1.23,0.22,https://internal.chattadata.org/api/views/c72g-ksjy/rows.csv?accessType=DOWNLOAD
n3e8-wf76,HCDE Zones - StreetType,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/n3e8-wf76/rows.csv?accessType=DOWNLOAD
8c7r-yciv,HCDE Zones - Schools,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/8c7r-yciv/rows.csv?accessType=DOWNLOAD
99v2-xr5x,Hamilton County Railroad Crossings,dataset,True,0.36,0.06,https://internal.chattadata.org/api/views/99v2-xr5x/rows.csv?accessType=DOWNLOAD
nkjc-a8ee,SVI Index Hamilton County,filter,True,0.17,0.03,https://internal.chattadata.org/api/views/nkjc-a8ee/rows.csv?accessType=DOWNLOAD
vuy2-5wei,Places of Worship,filter,True,0.06,0.02,https://internal.chattadata.org/api/views/vuy2-5wei/rows.csv?accessType=DOWNLOAD
762i-i9ee,Testing Locations,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/762i-i9ee/rows.csv?accessType=DOWNLOAD
wnzx-spb3,Permits - Permitted to is Blank,filter,True,61.63,16.62,https://internal.chattadata.org/api/views/wnzx-spb3/rows.csv?accessType=DOWNLOAD
xzqj-6tew,Permits - Permitted to Owner,filter,True,0.57,0.14,https://internal.chattadata.org/api/views/xzqj-6tew/rows.csv?accessType=DOWNLOAD
fsiz-ya8k,Permits - Permitted to Contractor,filter,True,2.35,0.56,https://internal.chattadata.org/api/views/fsiz-ya8k/rows.csv?accessType=DOWNLOAD
hin7-689s,City Court Citations,filter,True,18.88,3.11,https://internal.chattadata.org/api/views/hin7-689s/rows.csv?accessType=DOWNLOAD
y5qr-gke5,Biased Based Policing Overview,dataset,True,0.08,0.02,https://internal.chattadata.org/api/views/y5qr-gke5/rows.csv?accessType=DOWNLOAD
pzwn-f2mv,View based on 311 Service Requests,filter,True,0.9,0.22,https://internal.chattadata.org/api/views/pzwn-f2mv/rows.csv?accessType=DOWNLOAD
ipfu-n8y7,Internal Affairs Allegations - Public,filter,True,0.06,0.01,https://internal.chattadata.org/api/views/ipfu-n8y7/rows.csv?accessType=DOWNLOAD
vqes-iras,Internal Affairs Incidents Detailed - Public,filter,True,1.79,0.31,https://internal.chattadata.org/api/views/vqes-iras/rows.csv?accessType=DOWNLOAD
najs-wv89,Internal Affairs Incidents - Public,filter,True,0.54,0.09,https://internal.chattadata.org/api/views/najs-wv89/rows.csv?accessType=DOWNLOAD
y2bw-hkax,Tennessee Social Vulnerability Index,dataset,True,5.95,1.37,https://internal.chattadata.org/api/views/y2bw-hkax/rows.csv?accessType=DOWNLOAD
764y-vxm2,All Permit Data,filter,True,64.9,17.59,https://internal.chattadata.org/api/views/764y-vxm2/rows.csv?accessType=DOWNLOAD
8qb9-5fja,311 Service Requests,filter,False,401.26,85.99,https://internal.chattadata.org/api/views/8qb9-5fja/rows.csv?accessType=DOWNLOAD
vcwc-f3gy,Census Response Rate by Tract,dataset,True,79.01,21.46,https://internal.chattadata.org/api/views/vcwc-f3gy/rows.csv?accessType=DOWNLOAD
